arm_name,dataset_name,seed_split,seed_algo,r2,rmsep,rmse_cv,n_fits,wall_time,n_test
mean,mango,0,0,-0.0030,2.4196,nan,1,0.000049,3003
mean,mango,1,0,-0.0000,2.4446,nan,1,0.000045,3003
mean,mango,2,0,-0.0004,2.4597,nan,1,0.000038,3003
mean,mango,3,0,-0.0000,2.4252,nan,1,0.000037,3003
mean,mango,4,0,-0.0003,2.4202,nan,1,0.000040,3003
mean,mango,5,0,-0.0000,2.4711,nan,1,0.000042,3003
mean,mango,6,0,-0.0000,2.4643,nan,1,0.000040,3003
mean,mango,7,0,-0.0004,2.4319,nan,1,0.000041,3003
mean,mango,8,0,-0.0008,2.4198,nan,1,0.000041,3003
mean,mango,9,0,-0.0001,2.4539,nan,1,0.000040,3003
mean,mango,10,0,-0.0000,2.4814,nan,1,0.000042,3003
mean,mango,11,0,-0.0000,2.4591,nan,1,0.000047,3003
mean,mango,12,0,-0.0006,2.4871,nan,1,0.000041,3003
mean,mango,13,0,-0.0002,2.3972,nan,1,0.000038,3003
mean,mango,14,0,-0.0002,2.4652,nan,1,0.000052,3003
mean,mango,15,0,-0.0004,2.4298,nan,1,0.000039,3003
mean,mango,16,0,-0.0001,2.4224,nan,1,0.000038,3003
mean,mango,17,0,-0.0002,2.4078,nan,1,0.000039,3003
mean,mango,18,0,-0.0001,2.4441,nan,1,0.000038,3003
mean,mango,19,0,-0.0006,2.4354,nan,1,0.000041,3003
mean,mango,20,0,-0.0001,2.5170,nan,1,0.000037,3003
mean,mango,21,0,-0.0001,2.4772,nan,1,0.000038,3003
mean,mango,22,0,-0.0004,2.4593,nan,1,0.000039,3003
mean,mango,23,0,-0.0026,2.4461,nan,1,0.000043,3003
mean,mango,24,0,-0.0001,2.4194,nan,1,0.000043,3003
mean,mango,25,0,-0.0000,2.4273,nan,1,0.000041,3003
mean,mango,26,0,-0.0017,2.4486,nan,1,0.000040,3003
mean,mango,27,0,-0.0007,2.4490,nan,1,0.000044,3003
mean,mango,28,0,-0.0006,2.4278,nan,1,0.000042,3003
mean,mango,29,0,-0.0002,2.4377,nan,1,0.000040,3003
mean,mango,30,0,-0.0000,2.4531,nan,1,0.000053,3003
mean,mango,31,0,-0.0000,2.4488,nan,1,0.000058,3003
mean,mango,32,0,-0.0000,2.4306,nan,1,0.000040,3003
mean,mango,33,0,-0.0001,2.4364,nan,1,0.000040,3003
mean,mango,34,0,-0.0008,2.4661,nan,1,0.000039,3003
mean,mango,35,0,-0.0002,2.4040,nan,1,0.000048,3003
mean,mango,36,0,-0.0001,2.4161,nan,1,0.000037,3003
mean,mango,37,0,-0.0001,2.4049,nan,1,0.000044,3003
mean,mango,38,0,-0.0019,2.4196,nan,1,0.000041,3003
mean,mango,39,0,-0.0001,2.4838,nan,1,0.000042,3003
mean,mango,40,0,-0.0001,2.4650,nan,1,0.000044,3003
mean,mango,41,0,-0.0000,2.4377,nan,1,0.000042,3003
mean,mango,42,0,-0.0004,2.4370,nan,1,0.000042,3003
mean,mango,43,0,-0.0000,2.4450,nan,1,0.000039,3003
mean,mango,44,0,-0.0019,2.4527,nan,1,0.000039,3003
mean,mango,45,0,-0.0001,2.4405,nan,1,0.000037,3003
mean,mango,46,0,-0.0001,2.4341,nan,1,0.000038,3003
mean,mango,47,0,-0.0003,2.4128,nan,1,0.000042,3003
mean,mango,48,0,-0.0001,2.4280,nan,1,0.000043,3003
mean,mango,49,0,-0.0000,2.4287,nan,1,0.000038,3003
mean,mango,50,0,-0.0003,2.4401,nan,1,0.000041,3003
mean,mango,51,0,-0.0004,2.4349,nan,1,0.000041,3003
mean,mango,52,0,-0.0001,2.4151,nan,1,0.000051,3003
mean,mango,53,0,-0.0003,2.4767,nan,1,0.000040,3003
mean,mango,54,0,-0.0005,2.4658,nan,1,0.000038,3003
mean,mango,55,0,-0.0003,2.4087,nan,1,0.000086,3003
mean,mango,56,0,-0.0002,2.4696,nan,1,0.000072,3003
mean,mango,57,0,-0.0002,2.4209,nan,1,0.000083,3003
mean,mango,58,0,-0.0008,2.4198,nan,1,0.000074,3003
mean,mango,59,0,-0.0001,2.4194,nan,1,0.002007,3003
mean,mango,60,0,-0.0005,2.4327,nan,1,0.000090,3003
mean,mango,61,0,-0.0004,2.4200,nan,1,0.000070,3003
mean,mango,62,0,-0.0002,2.4319,nan,1,0.000069,3003
mean,mango,63,0,-0.0001,2.3943,nan,1,0.000073,3003
mean,mango,64,0,-0.0001,2.4390,nan,1,0.000065,3003
mean,mango,65,0,-0.0001,2.4567,nan,1,0.000120,3003
mean,mango,66,0,-0.0000,2.4209,nan,1,0.000068,3003
mean,mango,67,0,-0.0000,2.4151,nan,1,0.000075,3003
mean,mango,68,0,-0.0000,2.4362,nan,1,0.000075,3003
mean,mango,69,0,-0.0005,2.4603,nan,1,0.000080,3003
mean,mango,70,0,-0.0002,2.4120,nan,1,0.000074,3003
mean,mango,71,0,-0.0000,2.4996,nan,1,0.000080,3003
mean,mango,72,0,-0.0002,2.4541,nan,1,0.000072,3003
mean,mango,73,0,-0.0007,2.4203,nan,1,0.000070,3003
mean,mango,74,0,-0.0003,2.4404,nan,1,0.000084,3003
mean,mango,75,0,-0.0001,2.4730,nan,1,0.000084,3003
mean,mango,76,0,-0.0001,2.4390,nan,1,0.003157,3003
mean,mango,77,0,-0.0001,2.4579,nan,1,0.000085,3003
mean,mango,78,0,-0.0004,2.4168,nan,1,0.000078,3003
mean,mango,79,0,-0.0003,2.4460,nan,1,0.000081,3003
mean,mango,80,0,-0.0000,2.4467,nan,1,0.000077,3003
mean,mango,81,0,-0.0001,2.4534,nan,1,0.000076,3003
mean,mango,82,0,-0.0000,2.4379,nan,1,0.000079,3003
mean,mango,83,0,-0.0008,2.4475,nan,1,0.000076,3003
mean,mango,84,0,-0.0000,2.4413,nan,1,0.000084,3003
mean,mango,85,0,-0.0010,2.4466,nan,1,0.000087,3003
mean,mango,86,0,-0.0004,2.4874,nan,1,0.000071,3003
mean,mango,87,0,-0.0001,2.4661,nan,1,0.000078,3003
mean,mango,88,0,-0.0000,2.4691,nan,1,0.000073,3003
mean,mango,89,0,-0.0000,2.4745,nan,1,0.000075,3003
mean,mango,90,0,-0.0000,2.4590,nan,1,0.000075,3003
mean,mango,91,0,-0.0000,2.4231,nan,1,0.000084,3003
mean,mango,92,0,-0.0006,2.4339,nan,1,0.000075,3003
mean,mango,93,0,-0.0000,2.4169,nan,1,0.000081,3003
mean,mango,94,0,-0.0000,2.4345,nan,1,0.000090,3003
mean,mango,95,0,-0.0008,2.4291,nan,1,0.000078,3003
mean,mango,96,0,-0.0000,2.4479,nan,1,0.000079,3003
mean,mango,97,0,-0.0001,2.4346,nan,1,0.000067,3003
mean,mango,98,0,-0.0000,2.4306,nan,1,0.000070,3003
mean,mango,99,0,-0.0004,2.4629,nan,1,0.000078,3003
