preprocessor,arm_name,dataset_name,seed_split,seed_algo,r2,rmsep,rmse_cv,n_components,n_fits,wall_time,n_test
snv,pls_full,tecator,0,0,0.9651,2.2326,2.1111,3,101,0.368322,54
snv,pls_full,tecator,1,0,0.9537,2.4181,2.0944,3,101,0.334712,54
snv,pls_full,tecator,2,0,0.9694,1.9808,2.2561,3,101,0.330351,54
snv,pls_full,tecator,3,0,0.9732,1.8663,2.2201,3,101,0.298385,54
snv,pls_full,tecator,4,0,0.9639,2.6947,1.8978,3,101,0.285633,54
snv,pls_full,tecator,5,0,0.9671,1.9964,2.2191,3,101,0.298332,54
snv,pls_full,tecator,6,0,0.9716,2.2152,2.2289,3,101,0.287062,54
snv,pls_full,tecator,7,0,0.9669,1.7723,2.3090,3,101,0.293057,54
snv,pls_full,tecator,8,0,0.9758,2.0290,2.1968,3,101,0.298892,54
snv,pls_full,tecator,9,0,0.9671,2.4840,2.0858,3,101,0.277483,54
snv,pls_full,tecator,10,0,0.9721,2.1928,2.0667,4,101,0.285685,54
snv,pls_full,tecator,11,0,0.9629,2.0984,2.2980,3,101,0.289134,54
snv,pls_full,tecator,12,0,0.9703,1.8253,2.2911,3,101,0.294965,54
snv,pls_full,tecator,13,0,0.9744,2.1103,2.0958,7,101,0.278325,54
snv,pls_full,tecator,14,0,0.9734,2.0570,2.0900,5,101,0.288484,54
snv,pls_full,tecator,15,0,0.9628,2.4348,1.9065,8,101,0.300665,54
snv,pls_full,tecator,16,0,0.9749,2.2240,2.1296,3,101,0.316238,54
snv,pls_full,tecator,17,0,0.9669,2.0981,2.1479,4,101,0.314991,54
snv,pls_full,tecator,18,0,0.9687,2.3666,2.0657,3,101,0.314266,54
snv,pls_full,tecator,19,0,0.9575,2.7265,1.8869,3,101,0.298728,54
snv,pls_full,tecator,20,0,0.9822,1.6287,2.2174,8,101,0.310490,54
snv,pls_full,tecator,21,0,0.9771,1.8240,2.1186,8,101,0.286631,54
snv,pls_full,tecator,22,0,0.9645,2.3775,1.8952,9,101,0.318556,54
snv,pls_full,tecator,23,0,0.9774,1.8896,2.0949,9,101,0.327026,54
